,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
426,Zimbabwe,0,3,2009,4.055914402,7.788678646,0.805780947,44,0.411089182,-0.093554139,0.930817783,0.660172701,0.218418732,0.285287261,Africa,54,91.3,551.9115,2.77,73,64,23.6,69,73,7.31,941,12.53,7.5,7.4,7.2,0,1,48.4
71,Chad,0,3,2009,3.639445066,7.363704205,0.645713627,48.22000122,0.401370287,0.022082413,0.931180775,0.601492822,0.221047014,0.253101557,Africa,85.8,151.7,387.5995,0.67,24,64,21.6,32,24,0.67,659,11.56,9.6,9.5,1.8,0,1,50.3
427,Zimbabwe,0,3,2010,4.681569576,7.954751015,0.856637836,45.20000076,0.664718211,-0.108831823,0.828360796,0.699366033,0.122149915,0.47120136,Africa,52.1,86.4,509.088,3.38,90,64,23.6,89,89,6.73,1110,12.7,7.1,7,7.3,0,1,50.6
72,Chad,0,3,2010,3.742871046,7.457431316,0.733713627,48.59999847,0.504612565,0.025472684,0.857664049,0.56018573,0.287240535,0.319014966,Africa,84.1,147.7,382.1715,0.55,39,64,21.6,43,39,0.64,724,11.95,9.4,9.3,1.9,0,1,50.9
73,Chad,0,3,2011,4.393482208,7.424624443,0.81884402,48.97999954,0.540267944,0.031195123,0.876383662,0.578596532,0.289146483,0.394194484,Africa,82.3,143.7,376.7435,0.6,33,64,21.7,40,33,0.56,701,12.36,9.2,9.1,2,0,1,51.4
74,Chad,0,3,2012,4.03297472,7.476016521,0.672866464,49.36000061,0.562908113,-0.033492982,0.884475827,0.498229086,0.315747142,0.30277133,Africa,80.6,139.8,371.3155,0.63,40,64,21.7,51,40,0.54,738,12.78,9,8.9,2.1,0,1,51.9
75,Chad,0,3,2013,3.507663012,7.49794054,0.714144647,49.74000168,0.48821035,-0.044931889,0.881972373,0.437320441,0.314174235,0.309654564,Africa,78.9,135.9,368.599,0.65,39,64,21.8,46,39,0.48,754,13.22,8.8,8.7,2.1,0,1,52.4
428,Zimbabwe,0,3,2011,4.845641613,8.072114944,0.864693522,46.40000153,0.632977962,-0.104004815,0.829800427,0.699490964,0.210543975,0.425926328,Africa,50.8,80.8,466.265,3.91,94,64,23.7,93,93,6.05,1249,12.89,6.8,6.7,7.3,0,1,52.9
61,Cameroon,1,3,2009,4.741408348,8.077125549,0.728693902,49.15999985,0.698030412,-0.020263994,0.925447285,0.59187758,0.249821514,0.366200924,Africa,71.1,114.3,365.4865,5.72,80,64,23.9,79,80,2.13,1247,19.79,6.3,6.3,5.2,0,1,54.6
241,Mali,1,3,2009,3.976598501,7.621356964,0.732557058,50.95999908,0.633815944,0.008744554,0.819207728,0.728791058,0.149751499,0.479649901,Africa,78.8,135.1,287.6995,0.57,71,64,22.5,77,73,0.56,717,14.58,9,8.8,1.9,0,1,54.8
429,Zimbabwe,0,3,2012,4.955100536,8.209274292,0.896476209,47.59999847,0.469531178,-0.118763082,0.8586905,0.613298178,0.17731078,0.407083839,Africa,46.5,72.2,423.442,3.93,97,64,23.7,95,95,5.13,1432,13.12,6.5,6.4,7.9,0,1,55
62,Cameroon,1,3,2010,4.554256916,8.078226089,0.758640707,49.59999847,0.792220175,-0.000821863,0.874718666,0.593696296,0.273786336,0.513922989,Africa,68.6,110.1,362.5215,5.88,84,64,24,83,84,1.87,1248,20.34,6.1,6.2,5.3,0,1,55.1
242,Mali,1,3,2010,3.762305021,7.641546249,0.750922263,51.29999924,0.749049723,-0.027528271,0.810591161,0.7642169,0.16166617,0.706663907,Africa,76.7,130.3,285.833,0.6,72,64,22.6,77,73,0.52,732,15.05,8.8,8.5,2,0,1,55.3
63,Cameroon,1,3,2011,4.433885098,8.084054947,0.737992823,50.04000092,0.816693783,-0.03149984,0.869615674,0.607725799,0.271676332,0.645140469,Africa,66.6,105.8,359.557,5.9,82,64,24,80,82,1.73,1255,20.91,6,6,5.5,0,1,55.6
243,Mali,1,3,2011,4.666832924,7.642725945,0.795505047,51.63999939,0.822847605,-0.10040015,0.726062477,0.751705825,0.13182123,0.707489848,Africa,74.6,125.6,283.9665,0.62,66,64,22.6,72,66,0.46,732,15.51,8.5,8.3,2,0,1,55.7
64,Cameroon,1,3,2012,4.244634151,8.101963997,0.74283731,50.47999954,0.766064227,-0.034745246,0.898028791,0.616639733,0.284447879,0.533314586,Africa,64.2,101.3,356.5925,6.42,85,64,24.1,85,85,1.55,1278,21.49,5.9,5.9,5.7,0,1,56.1
244,Mali,1,3,2012,4.313016891,7.604798317,0.823435068,51.97999954,0.704219282,-0.087891899,0.786719501,0.647199988,0.109447502,0.486437917,Africa,72.6,121,282.1,0.61,66,64,22.7,65,66,0.42,705,15.98,8.3,8.1,2.1,0,1,56.1
386,Uganda,1,3,2009,4.611985683,7.512592793,0.852087021,51.25999832,0.760231495,-0.037424661,0.840422809,0.594162881,0.296115577,0.479615837,Africa,52.1,81.5,369.69,11.1,79,64,21.9,78,79,3.29,750,31.41,6.1,6.1,5.2,0,1,56.1
346,South Africa,1,2,2009,5.218430996,9.503808975,0.87735945,48.70000076,0.739409983,-0.161607936,0.904342353,0.655523777,0.230895981,0.522421479,Africa,38.4,60.3,473.875,7.25,74,63,26.9,75,76,10.13,5992,50.48,8.1,9.8,10.1,0,1,56.5
281,Niger,0,3,2009,4.267169952,6.899418831,0.771265149,51.45999908,0.880042136,-0.00760808,0.483152986,0.714190245,0.115248479,0.584044814,Africa,64.8,130.3,270.291,0.1,71,64,21.5,71,71,0.12,424,15.84,11,1.8,1.4,0,1,56.6
65,Cameroon,1,3,2013,4.271038055,8.123529434,0.760194361,50.91999817,0.794075966,-0.032713655,0.867257416,0.639725685,0.268199235,0.607353866,Africa,61.6,96.7,351.1035,6.56,89,64,24.2,88,89,1.31,1306,22.08,5.8,5.8,5.9,0,1,56.6
245,Mali,1,3,2013,3.676277161,7.598479271,0.81969142,52.31999969,0.664711058,-0.052895203,0.754807353,0.716894388,0.192900717,0.604514003,Africa,70.6,116.6,277.2635,0.58,69,64,22.8,57,69,0.44,701,16.45,8.1,7.9,2.2,0,1,56.6
430,Zimbabwe,0,3,2013,4.690187931,8.211196899,0.799273849,48.79999924,0.575884283,-0.120360069,0.830936551,0.623596251,0.182287797,0.527755439,Africa,44.8,66.3,405.008,4.11,95,64,23.7,95,95,4.77,1435,13.35,6.2,6,8,0,1,56.9
387,Uganda,1,3,2010,4.192882061,7.535571098,0.830155492,52.09999847,0.800667286,-0.014716002,0.854991913,0.627986968,0.251241982,0.662705898,Africa,49.5,76.3,355.2225,8.55,80,64,22,79,80,3.12,768,32.43,6,6,5.7,0,1,57.1
282,Niger,0,3,2010,4.101016045,6.943277359,0.654964983,51.90000153,0.817219734,-0.02218822,0.528980315,0.71503073,0.125837803,0.779490769,Africa,61.9,121.9,267.262,0.11,70,64,21.5,75,70,0.08,443,16.46,1.7,1.6,1.4,0,1,57.3
347,South Africa,1,2,2010,4.652428627,9.519201279,0.917056024,49.59999847,0.738905966,-0.209991843,0.79062891,0.698225856,0.123753376,0.593964458,Africa,34.4,52,449.3985,7.07,71,55,26.9,72,72,9.52,6085,51.22,7.3,8.9,10,0,1,57.7
371,Tanzania,1,3,2009,3.407507896,7.572009563,0.836828411,52.74000168,0.606549144,0.308808595,0.902627051,0.733148217,0.160527438,0.680313766,Africa,48.7,75.4,331.2625,6.26,85,64,22.7,88,85,2.59,782,43.07,7.2,7.2,5,0,1,57.7
283,Niger,0,3,2011,4.555829525,6.927817345,0.817660689,52.34000015,0.779515266,-0.054488208,0.549093366,0.709998012,0.166154444,0.7923069,Africa,59.3,114.5,264.2335,0.13,75,64,21.6,40,75,0.08,437,17.11,1.5,1.3,1.5,0,1,58.1
388,Uganda,1,3,2011,4.826001167,7.593511105,0.881751359,52.93999863,0.732973993,0.031412538,0.830123901,0.618214846,0.25448221,0.52145654,Africa,47,71.6,340.7545,8.79,82,64,22,79,82,2.89,814,33.48,5.9,5.9,5.4,0,1,58.1
372,Tanzania,1,3,2010,3.229129076,7.604382038,0.812531769,53.40000153,0.597121656,0.139381424,0.866263866,0.666602314,0.146118715,0.640798569,Africa,47.1,71.9,316.531,6.95,91,64,22.8,94,91,2.48,808,44.35,7.1,7.1,5.1,0,1,58.6
284,Niger,0,3,2012,3.798088312,6.989118099,0.700107574,52.77999878,0.734430909,-0.062656403,0.777340889,0.582121611,0.141553044,0.534528375,Africa,57,108.2,261.2055,0.15,71,64,21.6,71,71,0.07,464,17.8,1.3,1.1,1.6,0,1,58.8
348,South Africa,1,2,2011,4.930511475,9.535149574,0.857703149,50.5,0.835448027,-0.161942363,0.819181919,0.720048368,0.230213523,0.627495944,Africa,32.1,45.6,424.9215,7.17,76,54,27,71,69,9.01,6183,52,6.6,8,9.9,0,1,58.9
389,Uganda,1,3,2012,4.309237957,7.599359989,0.884721696,53.77999878,0.649463236,0.081028603,0.837545872,0.708792746,0.265322387,0.396223307,Africa,44.3,66.7,326.2865,8.79,78,64,22.1,79,78,2.62,818,34.56,5.8,5.8,5.3,0,1,59
285,Niger,0,3,2013,3.716329813,7.001832008,0.695813596,53.22000122,0.825387061,-0.076423906,0.710963428,0.639400542,0.208130196,0.641753078,Africa,55,102.7,257.1655,0.09,67,64,21.7,62,67,0.07,470,18.5,1,9.9,1.7,0,1,59.5
373,Tanzania,1,3,2011,4.073562145,7.648871422,0.882530153,54.06000137,0.73603034,-0.045770295,0.81637615,0.719679892,0.145141155,0.564787149,Africa,45.5,68.4,301.7985,7.09,90,64,22.9,88,90,2.4,845,45.67,7,6.9,5.1,0,1,59.5
211,Kenya,1,3,2009,4.270434856,8.163379669,0.789220333,52.97999954,0.583594739,0.091970138,0.912946522,0.678682506,0.182591587,0.241316408,Africa,40.4,59.9,302.9805,1.17,88,28,22.8,89,88,2.21,1261,40.9,8.2,8.1,6.1,0,1,59.9
390,Uganda,1,3,2013,3.709578753,7.602262974,0.878275216,54.61999893,0.76302135,0.052618086,0.820480824,0.646537483,0.34635675,0.577862203,Africa,42.4,62.3,321.4315,8.12,78,64,22.2,78,78,2.45,821,35.69,5.7,5.7,5.4,0,1,59.9
349,South Africa,1,2,2012,5.133887768,9.543016434,0.906595111,51.40000153,0.590144992,-0.170741677,0.838216782,0.71075809,0.178183243,0.425877452,Africa,31,41.5,400.445,7.22,68,53,27.1,69,65,8.52,6232,52.83,6,7.3,9.8,0,1,60.1
1,Afghanistan,0,3,2009,4.401778221,7.472446442,0.55230844,50.79999924,0.678896368,0.195469126,0.850035429,0.481421441,0.23709242,0.611545205,Asia,66.7,91.7,254.9705,0.01,63,24,22.6,63,63,0.02,473,28.39,18.6,18.7,3.1,0,1,60.5
374,Tanzania,1,3,2012,4.006897449,7.66318655,0.832056403,54.72000122,0.577453315,0.213656202,0.886997938,0.641209841,0.195307106,0.414645106,Africa,44,65.3,287.067,6.22,92,64,22.9,90,92,2.32,857,47.05,6.9,6.8,5.5,0,1,60.5
141,Ghana,2,3,2009,4.197695732,8.199045181,0.633197725,53.86000061,0.75747776,0.003233396,0.889738321,0.713851511,0.197590128,0.681955636,Africa,48.8,72.3,261.2595,1.26,94,55,23.5,94,94,1.06,1348,24.17,7.3,7.2,6.7,0,1,60.6
2,Afghanistan,0,3,2010,4.75838089,7.579182625,0.539075196,51.09999847,0.60012722,0.125859469,0.706766069,0.516906679,0.275323808,0.299357414,Asia,64.2,87.8,250.135,0.02,66,29,22.7,66,66,0.02,526,29.19,18.4,18.4,3.2,0,1,61
212,Kenya,1,3,2010,4.255859375,8.213656425,0.805326462,53.5,0.635457218,0.011133602,0.917921245,0.758244038,0.12320178,0.343885571,Africa,39.3,57.4,281.6775,1.52,90,28,22.8,90,90,2.04,1326,42.03,8.2,8,6.1,0,1,61
142,Ghana,2,3,2010,4.606251717,8.250206947,0.73855865,54.29999924,0.891129911,0.071665198,0.874849141,0.693436503,0.184128717,0.747062862,Africa,47,69.1,259.173,1.6,94,55,23.6,94,94,1,1419,24.78,7.1,7,6.7,0,1,61
350,South Africa,1,2,2013,3.660727262,9.551523209,0.839424491,52.29999924,0.714169025,-0.084694207,0.799543023,0.740163863,0.166549087,0.510355353,Africa,30.1,39.3,384.094,7.21,73,50,27.1,79,73,7.97,6285,53.69,5.4,6.5,9.9,0,1,61.1
375,Tanzania,1,3,2013,3.852394819,7.698914051,0.803418577,55.38000107,0.654182136,0.054775681,0.859005868,0.707001388,0.19128789,0.518418312,Africa,43,62.7,271.267,6.71,91,64,23,91,91,2.19,888,48.48,6.8,6.7,5.5,0,1,61.4
143,Ghana,2,3,2011,5.608199596,8.357404709,0.724297225,54.74000168,0.851896167,0.008451401,0.790444314,0.657618284,0.209212631,0.683400929,Africa,45.2,65.9,257.0865,1.67,91,58,23.7,91,91,0.93,1580,25.39,6.9,6.8,6.8,0,1,61.4
3,Afghanistan,0,3,2011,3.83171916,7.552006245,0.521103561,51.40000153,0.495901406,0.167722777,0.731108546,0.479834676,0.267174691,0.307385713,Asia,61.8,84,245.3,0.01,68,31,22.8,68,68,0.02,512,30.12,18.2,18.2,3.3,0,1,61.6
144,Ghana,2,3,2012,5.057261944,8.422570229,0.68511188,55.18000031,0.679418445,0.037784208,0.897836149,0.709003925,0.152376384,0.576750815,Africa,43.4,62.7,255,1.72,92,52,23.7,91,92,0.88,1686,26,6.7,6.6,6.8,0,1,61.7
213,Kenya,1,3,2011,4.405310154,8.236661911,0.846307576,54.02000046,0.708659172,0.014951093,0.922664165,0.70551306,0.227972493,0.458982378,Africa,38.5,55.5,260.375,1.47,96,28,22.9,97,96,1.8,1357,43.18,8.1,7.9,6.2,0,1,61.9
4,Afghanistan,0,3,2012,3.782937527,7.637953281,0.520636737,51.70000076,0.530935049,0.241247073,0.775619805,0.613512814,0.267919123,0.435440153,Asia,59.5,80.3,240.464,0.01,67,33,22.9,67,67,0.03,558,31.16,17.9,18,3.4,0,1,62.1
145,Ghana,2,3,2013,4.965053082,8.469906807,0.676289201,55.61999893,0.793793738,-0.067691118,0.880178452,0.660169482,0.210818723,0.485888302,Africa,41.8,59.8,251.5445,1.78,90,54,23.8,91,90,0.88,1768,26.61,6.6,6.4,6.9,0,1,62.1
251,Mauritania,1,3,2009,4.500431538,8.452671051,0.819333792,57.09999847,0.735071182,0.040320076,0.848293781,0.717251658,0.169828594,0.37321496,Africa,62.5,98.4,214,0.004,64,64,24.5,63,64,0.21,1422,3.39,8.9,8.7,3.7,0,1,62.3
5,Afghanistan,0,3,2013,3.572100401,7.657502651,0.48355186,52,0.577955365,0.066343978,0.8232041,0.547416985,0.273328096,0.482847273,Asia,57.3,76.9,236.221,0.01,64,38,23,64,64,0.03,569,32.27,17.7,17.7,3.5,0,1,62.5
252,Mauritania,1,3,2010,4.772306919,8.449266434,0.856507838,57.40000153,0.66893059,0.056135543,0.72736448,0.73715651,0.128675625,0.493744522,Africa,61.2,95.6,212,0,64,64,24.6,52,64,0.19,1417,3.49,8.7,8.5,3.8,0,1,62.5
214,Kenya,1,3,2012,4.547335148,8.254707336,0.83141011,54.54000092,0.627654195,0.058863558,0.911273062,0.667211711,0.19417724,0.40184477,Africa,38.2,54.1,239.072,1.49,94,28,23,94,94,1.69,1382,44.34,8,7.8,6.2,0,1,62.7
253,Mauritania,1,3,2011,4.784804344,8.460693359,0.750276566,57.70000076,0.566920221,0.052993953,0.746937871,0.729369521,0.174862579,0.42903164,Africa,60,93,210,0,75,64,24.6,73,75,0.18,1433,3.6,8.5,8.3,3.9,0,1,62.8
254,Mauritania,1,3,2012,4.673203945,8.474878311,0.763332725,58,0.487372756,-0.020163706,0.707005799,0.74946624,0.163681492,0.383974999,Africa,58.8,90.5,208,0,80,64,24.7,80,80,0.17,1454,3.71,8.3,8.1,4,0,1,63.1
215,Kenya,1,3,2013,3.795383215,8.265796661,0.824806035,55.06000137,0.708332241,0.206916451,0.861003399,0.728745103,0.161331311,0.60929203,Africa,37.4,52.3,233.9175,1.53,93,28,23.1,94,87,1.54,1397,45.52,7.9,7.7,6.3,0,1,63.4
255,Mauritania,1,3,2013,4.199015141,8.486056328,0.741155803,58.29999924,0.60280025,-0.077608734,0.675553739,0.742709339,0.195690349,0.454325795,Africa,57.5,87.7,206.528,0,80,64,24.8,80,80,0.16,1470,3.82,8.1,7.9,4.1,0,1,63.4
331,Senegal,0,3,2009,4.335114002,7.930426598,0.810355306,56.40000153,0.556838155,-0.037648786,0.918035448,0.708374262,0.227579623,0.261134237,Africa,44.1,69.8,217.6005,0.31,86,33,22.7,83,86,0.22,1143,12.34,1.6,1.5,2.4,0,1,63.6
332,Senegal,0,3,2010,4.372156143,7.936342239,0.76029408,56.70000076,0.777262628,-0.078549474,0.850534856,0.669947743,0.142737702,0.285449982,Africa,42.4,65.7,211.9,0.18,89,33,22.7,76,89,0.19,1150,12.68,1.4,1.3,2.4,0,1,64.3
333,Senegal,0,3,2011,3.834201574,7.921926975,0.602409363,57,0.6408903,-0.161634251,0.869893968,0.696441174,0.180026993,0.304639816,Africa,40.7,62.1,206.2,0.21,92,33,22.8,89,92,0.16,1133,13.03,1.2,1.1,2.4,0,1,64.9
291,Pakistan,1,3,2009,5.208146572,8.27652359,0.521746695,54.24000168,0.387697667,0.076895013,0.873649061,0.515629292,0.348705649,0.355925977,Asia,71.5,89.1,172.1295,0.035,78,30,23.3,52,71,0.13,1246,175.53,2.5,2.9,4.5,0,1,65
292,Pakistan,1,3,2010,5.786132813,8.270492554,0.571315944,54.5,0.364205927,0.300178647,0.8516559,0.52664572,0.371941417,0.30821377,Asia,70.1,87.1,169.1665,0.04,82,34,23.4,52,82,0.13,1239,179.42,2.2,2.7,4.7,0,1,65.3
334,Senegal,0,3,2012,3.668736935,7.933320522,0.711077392,57.29999924,0.668252289,-0.036015432,0.851879895,0.721606612,0.213602841,0.645107508,Africa,39.2,58.7,200.5,0.19,91,33,22.8,83,91,0.14,1146,13.4,1,9.9,2.6,0,1,65.4
293,Pakistan,1,3,2011,5.267186165,8.276018143,0.509884119,54.75999832,0.375822634,0.029472155,0.857177615,0.472562015,0.357800812,0.275174707,Asia,68.6,85,166.204,0.04,74,38,23.5,63,74,0.13,1246,183.34,2,2.4,4.8,0,1,65.6
294,Pakistan,1,3,2012,5.131565094,8.289225578,0.542038023,55.02000046,0.366844118,0.16466324,0.842024505,0.51005733,0.332447737,0.228680417,Asia,67,82.8,163.241,0.03,72,42,23.6,64,72,0.13,1262,187.28,19.8,2.2,4.8,0,1,65.8
335,Senegal,0,3,2013,3.647367001,7.929166794,0.822957873,57.59999847,0.635539532,-0.052006315,0.836612225,0.694229305,0.165078521,0.614916325,Africa,37.6,55.4,197.0095,0.19,92,33,22.9,89,92,0.12,1141,13.78,9.9,9.7,2.8,0,1,65.9
56,Cambodia,1,3,2009,4.110625744,7.864644051,0.818258047,58.65999985,0.937233329,0.152675226,0.96477896,0.691364467,0.187686995,0.902666688,Asia,40.2,47.5,198.62,1.42,92,47,21.5,95,94,0.19,855,14.09,11.1,11.4,3.7,0,1,66
295,Pakistan,1,3,2013,5.138082504,8.311218262,0.607087076,55.27999878,0.447909594,0.099312656,0.791835248,0.474416286,0.273709893,0.260006875,Asia,65.4,80.6,162.208,0.03,72,43,23.7,65,72,0.13,1290,191.26,19.6,2,4.9,0,1,66.1
166,India,2,3,2009,4.521517754,8.283079147,0.652852058,56.93999863,0.678643644,-0.02627177,0.894611061,0.638585687,0.300621331,0.698452473,Asia,47.2,61.4,194.7545,2.46,37,34,21.3,73,74,0.11,1162,1217.73,27,27.8,5.3,0,1,66.2
57,Cambodia,1,3,2010,4.141072273,7.907173157,0.69716382,59,0.940131187,0.350007176,0.895714462,0.66197139,0.421966344,0.895580769,Asia,37.3,43.8,194.613,2.16,89,48,21.6,90,89,0.16,892,14.31,11,11.3,4.4,0,1,66.6
167,India,2,3,2010,4.989277363,8.351133347,0.604809761,57.29999924,0.783060372,0.057497002,0.862548053,0.579225481,0.266502023,0.667365491,Asia,45.1,58.2,191.5935,2.73,38,38,21.4,76,79,0.1,1244,1234.28,27,27.8,5.4,0,1,66.7
58,Cambodia,1,3,2011,4.161225319,7.959593296,0.715518951,59.34000015,0.927462399,0.418592066,0.775355637,0.637012541,0.307868689,0.901219606,Asia,34.6,40.5,190.6065,2.4,88,52,21.7,91,88,0.13,940,14.54,11,11.2,4.4,0,1,67
168,India,2,3,2011,4.634871483,8.389334679,0.552593112,57.65999985,0.837551653,-0.038207788,0.907793522,0.479759604,0.231594488,0.580353677,Asia,43,55,188.4325,2.95,44,27,21.4,79,82,0.09,1293,1250.29,26.9,27.7,5.4,0,1,67.1
271,Nepal,1,3,2009,4.91686821,7.860043049,0.813067853,59.84000015,0.616153777,0.033983059,0.949701965,0.484039843,0.215433761,0.415181667,Asia,38.3,48.3,181.972,0.22,89,65,21.7,93,89,0.17,700,26.88,16.9,17.4,3.2,0,1,67.2
41,Bolivia,1,2,2009,6.085579395,8.772760391,0.831319928,61.5,0.778938591,-0.036766574,0.762604535,0.742098808,0.372369289,0.468150496,South America,34.8,44.1,204.4305,3.64,93,83,25.7,92,93,0.18,2455,9.88,1.2,1.1,7.9,0,1,67.5
59,Cambodia,1,3,2012,3.898706913,8.013871193,0.605528593,59.68000031,0.955595791,0.246767148,0.890136123,0.713434279,0.351858586,0.82517308,Asia,32.3,37.7,186.6,2.52,86,41,21.8,90,86,0.12,993,14.78,11,11.2,4.5,0,1,67.5
169,India,2,3,2012,4.720146656,8.430147171,0.510574579,58.02000046,0.609320104,0.066842526,0.829614758,0.543506503,0.294841021,0.539206505,Asia,40.9,52,185.272,3.04,73,36,21.5,79,82,0.08,1347,1265.78,26.9,27.6,5.6,0,1,67.5
272,Nepal,1,3,2010,4.349675179,7.902270794,0.779038072,59.90000153,0.519062638,0.081981964,0.910801888,0.538355172,0.225972995,0.45481205,Asia,36.6,45.9,177.189,0.23,82,65,21.8,83,82,0.17,730,27.01,16.7,17.2,3.3,0,1,67.6
60,Cambodia,1,3,2013,3.674466848,8.068359375,0.650589585,60.02000046,0.940592945,0.163838625,0.811991632,0.669755757,0.44031167,0.775055826,Asia,30.3,35.3,182.9515,2.8,83,52,21.9,71,83,0.11,1048,15.03,11,11.1,4.6,0,1,67.9
170,India,2,3,2013,4.427788734,8.480222702,0.552826345,58.38000107,0.740176618,0.083723851,0.832356334,0.608282983,0.330437362,0.532654881,Asia,38.8,49,182.8295,3.03,70,51,21.6,82,83,0.08,1416,1280.84,26.8,27.5,5.8,0,1,67.9
42,Bolivia,1,2,2010,5.780620098,8.796762466,0.80718559,61.70000076,0.703341067,-0.06916032,0.781342506,0.720217526,0.349597335,0.376929045,South America,33,41.6,200.5385,3.37,91,83,25.8,90,91,0.17,2514,10.05,1.2,1.1,7.8,0,1,68
273,Nepal,1,3,2011,3.809444666,7.934880257,0.740979373,59.95999908,0.524797678,-0.01938219,0.934563756,0.530136704,0.207358956,0.328487307,Asia,35,43.6,172.406,0.25,92,65,21.9,92,92,0.17,754,27.04,16.5,16.9,3.3,0,1,68
